ChainName,PrimaryCategory
Barneys New York,Department Store
Barons Market,Grocery
Barrio Queen,Restaurant - Casual
Barrio Tacos,Restaurant - Fast Casual
Barro?s Pizza,Restaurant - QSR/Fast Food
"Barry's Bootcamp",Gyms + Fitness Facilities
Bartaco,Restaurant - Casual
Bartell Drugs,Drug Stores + Pharmacies
Bartlett Tree Experts,Flowers
"Barton's Lumber",Home Improvement + Building Supplies
"Bashas' Supermarkets",Grocery
Basic-Fit,Gyms + Fitness Facilities
Basil Box,Restaurant - Fast Casual
Baskin Robbins,Restaurant - Bakery/Desserts
Baskin Robbins Canada,Restaurant - Bakery/Desserts
Bass Pro Shops,Sports + Recreation
Bassett,Hair
Bassett Furniture,Furnishings
Bath & Body Works,Cosmetics + Beauty Supplies
Bath & Body Works Canada,Cosmetics + Beauty Supplies
Baton Rouge,Restaurant - Fine Dining
Batteries Plus Bulbs,Computers + Consumer Electronics
Battery Giant,"Auto Service, Parts, + Tires"
Battery Source,"Auto Service, Parts, + Tires"
Battery Systems,"Auto Service, Parts, + Tires"
Battery Warehouse,"Auto Service, Parts, + Tires"
Bauer Built,"Auto Service, Parts, + Tires"
BayCoast Bank,Banks + Financial Services
Baya Bar,Restaurant - Fast Casual
Bayer Properties,Commercial Properties
Baylor Institute for Rehabilitation,Physical Therapy + Rehabilitation
Baylor Scott & White Health,"Hospitals, Urgent Care, + Doctors"
Baymark Health Services,Misc. Health Supplies + Services
Baymont Inn & Suites,Hotels
Baystate Pool Supplies,Home Improvement + Building Supplies
Beach Bum Tanning & Airbrush Salon,"Spa, Massage, + Esthetics"
Beacon Roofing Supply,Home Improvement + Building Supplies
Beacon and Bridge Market,Gas Stations
"Bealls ",Clothing - Family/Unisex
Bealls Florida,Clothing - Family/Unisex
Bealls TX,Department Store
Bean Around the World Coffees,Restaurant - Coffee/Tea
Bean Sprouts,Restaurant - Fast Casual
Beans & Brews Coffeehouse,Restaurant - Coffee/Tea
Bear Paddle,"Schools, Tutoring, + Education"
"Beard Papa's",Restaurant - Bakery/Desserts
Beatnic,Restaurant - Fast Casual
Beaumont Health,"Hospitals, Urgent Care, + Doctors"
Beauty Bar,"Spa, Massage, + Esthetics"
Beauty Brands,Cosmetics + Beauty Supplies
Beauty First Nebraska,Cosmetics + Beauty Supplies
Beauty Rest,Mattress Store
Beauty Unlimited,Cosmetics + Beauty Supplies
Beavertails,Restaurant - Bakery/Desserts
Becker Furniture World,Furnishings
Becker Tire,"Auto Service, Parts, + Tires"
Becks Prime,Restaurant - Casual
Beck?s Oil,Gas Stations
Bed Bath & Beyond,Home + Housewares
Bed Bath & Beyond Canada,Home + Housewares
Bed Pros Mattress,Mattress Store
BedMart,Furnishings
Bedzzz Express,Furnishings
"Beef 'O' Brady's",Restaurant - Casual
Beef Jerky Outlet,Food Retail (Non-Grocers)
Beef a Roo,Restaurant - Fast Casual
Beefsteak,Restaurant - Fast Casual
Beer Barrel Pizza & Grill,Restaurant - Casual
Beertown,Restaurant - Bar/Pub
Beggars Pizza,Restaurant - QSR/Fast Food
Behavioral Health Group,Misc. Health Supplies + Services
Bel Air,Grocery
Bel Furniture,Furnishings
Belden Brick,Home Improvement + Building Supplies
Belden Jewelers,Jewelry
Belgard,Home Improvement + Building Supplies
Belk,Clothing - Family/Unisex
Bell Canada,Communications
Bell Stores,Convenience Store
"Bell's Food Stores",Grocery
Bella Bridesmaids,Clothing - Womens
"Bellacino's",Restaurant - QSR/Fast Food
Bellagios Pizza,Restaurant - Casual
Belle Tire,"Auto Service, Parts, + Tires"
Bellino Fireworks,Amusement
Belmont Village Senior Living,Misc. Health Supplies + Services
Beltone,Hearing Care
Ben & Florentine,Restaurant - Casual
"Ben & Jerry's",Restaurant - Bakery/Desserts
Ben Bridge Jeweler,Jewelry
Benchmark Physical Therapy,Physical Therapy + Rehabilitation
Benchmark Senior Living,Misc. Health Supplies + Services
Benderson Development,Commercial Properties
Benedetti Mexico,Restaurant - QSR/Fast Food
Benefit Cosmetics,Cosmetics + Beauty Supplies
Benefit Cosmetics - Distributor Locations,Cosmetics + Beauty Supplies
Benihana,Restaurant - Casual
Benjamin Moore,Home Improvement + Building Supplies
"Bennigan's",Restaurant - Casual
Benny & Co,Restaurant - QSR/Fast Food
Bentall Kennedy,Commercial Properties
Bentley Leathers & Luggage,Travel
Bentley Motors,New/Used Car Dealers
"Bentley's Pet Stuff",Pet Stores + Supplies
Bento Cafe,Restaurant - Fast Casual
Bento Sushi,Restaurant - QSR/Fast Food
Bento Sushi - Grocery Store Locations,Restaurant - QSR/Fast Food
Benzer Pharmacy,Drug Stores + Pharmacies
Berezan Liquor Stores,"Beer, Wine, + Liquor Stores"
Bergdorf Goodman,Clothing - Womens
Bergham,Restaurant - Fast Casual
"Bergner's",Department Store
Berkots Super Foods,Grocery
Berkshire Bank,Banks + Financial Services
Berluti,Clothing - Mens
"Bernie & Phyl's Furniture",Furnishings
Berry Blendz,Restaurant - Juice Bars
Bershka,Clothing - Family/Unisex
"Bertucci's",Restaurant - Casual
Best Buy,Computers + Consumer Electronics
Best Buy Canada,Computers + Consumer Electronics
Best Buy Mobile,Communications
Best Cuts,Hair
Best Fitness,Gyms + Fitness Facilities
Best Friends Pet Care,Pet Health + Care
Best Market,Grocery
Best Mattress,Furnishings
Best One Tire & Service,"Auto Service, Parts, + Tires"
Best Tire Center,"Auto Service, Parts, + Tires"
Best Western,Hotels
BestMed,"Hospitals, Urgent Care, + Doctors"
Bestseller,Clothing - Family/Unisex
Bestway Rental,Furnishing Rentals
"Beto's Mexican Food",Restaurant - QSR/Fast Food
Better Buzz Coffee,Restaurant - Coffee/Tea
BetterMed Urgent Care,"Hospitals, Urgent Care, + Doctors"
BevMax,"Beer, Wine, + Liquor Stores"
BevMo,"Beer, Wine, + Liquor Stores"
Beverly Hills Rejuvenation Center,"Spa, Massage, + Esthetics"
"Beverly's Fabric & Crafts","Crafts, Toys, and Hobbies"
Beyond Hello,Cannabis Retail
Beyond Juicery+Eatery,Restaurant - Juice Bars
Beyond Sushi,Restaurant - Fast Casual
Bi-Mart,Grocery
Biaggi?s Ristorante Italiano,Restaurant - Casual
Bianco,Footwear
Bibibop,Restaurant - Fast Casual
Bickford Senior Living,Misc. Health Supplies + Services
Biedronka Poland,Grocery
Bier Markt,Restaurant - Bar/Pub
"Biff's Fitness",Gyms + Fitness Facilities
Big 5 Sporting Goods,Sports + Recreation
Big Air Trampoline Park,Amusement
Big Apple Bagels,Restaurant - Bakery/Desserts
Big Bad Breakfast,Restaurant - Casual
Big Bazar,Mass Merchant
Big Bear Food Mart,Convenience Store
Big Blue Marble Academy,"Schools, Tutoring, + Education"
Big Blue Swim School,"Schools, Tutoring, + Education"
Big Brand Tire & Service,"Auto Service, Parts, + Tires"
Big Chicken,Restaurant - Fast Casual
Big City Burrito,Restaurant - QSR/Fast Food
Big City Wings,Restaurant - Casual
Big D Oil,Gas Stations
"Big Daddy's Wine & Liquors","Beer, Wine, + Liquor Stores"
"Big Dan's Carwash",Car Wash
Big John Steak and Onion Subs,Restaurant - QSR/Fast Food
Big Lots Stores,Discount Stores
Big M Supermarkets,Grocery
Big Madre Tacos y Tortas,Restaurant - Fast Casual
"Big Mama's & Papa's Pizzeria",Restaurant - QSR/Fast Food
Big O Tires,"Auto Service, Parts, + Tires"
Big O Tires Canada,"Auto Service, Parts, + Tires"
"Big R - Colorado, New Mexico, & Texas",Agricultural Feed + Seed
"Big R - Illinois, Indiana, Ohio, & Wisconsin",Agricultural Feed + Seed
Big R - Rural King Supply,Agricultural Feed + Seed
Big R West,Home Improvement + Building Supplies
Big Red Liquors,"Beer, Wine, + Liquor Stores"
Big Rig,Restaurant - Bar/Pub
Big Sandy Superstore,Furnishings
Big Saver Foods,Grocery
Big Smoke Burger,Restaurant - QSR/Fast Food
Big Tex Trailers,"Auto Service, Parts, + Tires"
Big V Property Group (BVPG),Commercial Properties
"Big Whiskey's American Restaurant",Restaurant - Bar/Pub
Big Y Foods,Grocery
BigFoot Java,Restaurant - Coffee/Tea
Bikini Village,Clothing - Family/Unisex
Bikram Yoga,Gyms + Fitness Facilities
Bill Miller Bar-B-Q,Restaurant - QSR/Fast Food
"Bill's Dollar Stores",Discount Stores
Billabong,Clothing - Family/Unisex
Billy Reid,Clothing - Family/Unisex
Billy Sims BBQ,Restaurant - Casual
Bimba Y Lola,Clothing - Womens
Bimbo Bakeries,Restaurant - Bakery/Desserts
"Binny's Beverage Depot","Beer, Wine, + Liquor Stores"
"Binson's",Misc. Health Supplies + Services
Binswanger Glass,"Auto Service, Parts, + Tires"
Bio-Reference Laboratories,"Hospitals, Urgent Care, + Doctors"
BioLife Plasma Services,Misc. Health Supplies + Services
BioScrip,Misc. Health Supplies + Services
Biological Specialty Company,Misc. Health Supplies + Services
Birdcall,Restaurant - Fast Casual
Birks,Jewelry
Biscuit Belly,Restaurant - Fast Casual
Biscuit Love,Restaurant - Casual
Biscuits & Bath,Pet Health + Care
Biscuits Cafe,Restaurant - Fast Casual
Biscuitville,Restaurant - QSR/Fast Food
BizBox,"Printing, Copying + Publishing"
Bizou,Jewelry
Black Angus Steakhouse,Restaurant - Casual
Black Bear Diner,Restaurant - Casual
Black Creek Group,Commercial Properties
Black Rifle Coffee Company,Restaurant - Coffee/Tea
Black Rifle Coffee Company - Distributor Locations,Restaurant - Coffee/Tea
Black Rock Bar & Grill,Restaurant - Bar/Pub
Black Rock Coffee,Restaurant - Coffee/Tea
Black Seed Bagels,Restaurant - Bakery/Desserts
Black Walnut Cafe,Restaurant - Casual
"Black's Tire & Auto Service","Auto Service, Parts, + Tires"
Black-eyed Pea,Restaurant - Casual
BlackFinn Ameripub,Restaurant - Bar/Pub
Blain?s Farm & Fleet,Agricultural Feed + Seed
"Blake's Lotaburger",Restaurant - Fast Casual
Blanco Tacos & Tequila,Restaurant - Casual
Blank Street,Restaurant - Coffee/Tea
Blast Fitness,Gyms + Fitness Facilities
Blaze Pizza,Restaurant - Fast Casual
Blenders in the Grass,Restaurant - Juice Bars
Blick Art Materials,"Crafts, Toys, and Hobbies"
Blimpie,Restaurant - QSR/Fast Food
Blink,EV Charging Stations
Blink Fitness,Gyms + Fitness Facilities
Blo Blow Dry Bar,Hair
Blood Bank Of Delmarva,Misc. Health Supplies + Services
Bloom Medicinals,Cannabis Retail
"Bloomingdale's",Department Store
"Bloomingdale's Café/Restaurants",Restaurant - Fast Casual
Blu Dot,Furnishings
Blue Beacon Truck Wash,Car Wash
Blue Bottle Coffee,Restaurant - Coffee/Tea
Blue Burro,Restaurant - QSR/Fast Food
Blue Coast Burrito,Restaurant - Fast Casual
Blue Falls Car Wash,Car Wash
Blue Federal Credit Union,Banks + Financial Services
Blue Lion Salon Studios,Hair
Blue Martini,Restaurant - Bar/Pub
Blue Nile,Jewelry
Blue River Pet Care,Pet Health + Care
Blue Sky Express Car Wash,Car Wash
Blue Sky Self Storage,Storage
BluePearl Veterinary,Pet Health + Care
BlueSprig,Misc. Health Supplies + Services
BlueWave Express Car Wash,Car Wash
Bluemercury,Hair
Bluenotes Canada,Clothing - Family/Unisex
Bluepoint Wellness CT,Cannabis Retail
Bluestone Lane,Restaurant - Coffee/Tea
BoConcept,Furnishings
BoRics,Hair
BoSa Donuts,Restaurant - Bakery/Desserts
Board & Brew,Restaurant - Fast Casual
Board & Brush,"Crafts, Toys, and Hobbies"
Boardroom Salon for Men,Hair
Boathouse Stores,Clothing - Family/Unisex
Bob Evans,Restaurant - Casual
Bob Mills Furniture,Furnishings
Bob Sumerel Tire,"Auto Service, Parts, + Tires"
"Bob's Big Boy",Restaurant - Casual
"Bob's Discount Furniture",Furnishings
"Bob's Steak & Chop",Restaurant - Fine Dining
"Bob's Stores",Clothing - Family/Unisex
Boba Guys,Restaurant - Coffee/Tea
Boba Loca,Restaurant - Coffee/Tea
"Bobby's Burger Palace",Restaurant - Fast Casual
"Bobby's Burgers",Restaurant - Fast Casual
Boca Grande,Restaurant - Fast Casual
Boca Tanning Club,"Spa, Massage, + Esthetics"
Bodega Taqueria y Tequila,Restaurant - Casual
Body Central,Physical Therapy + Rehabilitation
Body Fit Training,Gyms + Fitness Facilities
Body Renew,Gyms + Fitness Facilities
BodyBrite,"Spa, Massage, + Esthetics"
BodyLogicMD,Misc. Health Supplies + Services
Bodyrok,Gyms + Fitness Facilities
"Bojangles'",Restaurant - QSR/Fast Food
Bolay,Restaurant - Fast Casual
Boloco,Restaurant - Fast Casual
Bombshells,Restaurant - Fast Casual
Bomgaars,Agricultural Feed + Seed
Bon-Ton Stores,Department Store
BonLook,Optical
BonWorth,Clothing - Womens
Bonanza Steakhouse,Restaurant - Casual
Bonchon,Restaurant - QSR/Fast Food
Bond No. 9,Cosmetics + Beauty Supplies
Bond Vet,"Hospitals, Urgent Care, + Doctors"
Bonefish Grill,Restaurant - Casual
"Bono's Pit Bar-B-Q",Restaurant - Casual
Bonobos,Clothing - Mens
Bonpreu & Esclat,Grocery
Bookmans Entertainment Exchange,Books
Books Kinokuniya,Books
Books-A-Million,Books
Boomarang Diner,Restaurant - Casual
"BoomerJack's Grill & Bar",Restaurant - Bar/Pub
Boost Mobile,Communications
Boost Mobile - Distributor Locations,Communications
Booster Juice,Restaurant - Juice Bars
Boot Barn,Footwear
Boots,Cosmetics + Beauty Supplies
Boots Opticians,Optical
Boqueria,Restaurant - Casual
Border Tire,"Auto Service, Parts, + Tires"
"Boscov's",Department Store
Bose,Computers + Consumer Electronics
Bosley,Misc. Health Supplies + Services
"Bosley's By Pet Valu",Pet Stores + Supplies
Boston Dental Group,Dental
Boston Market,Restaurant - Fast Casual
Boston Pizza,Restaurant - QSR/Fast Food
Boston Store,Department Store
"Boston's Restaurant & Sports Bar",Restaurant - Casual
Bottega Veneta,Department Store
Bouclair,Furnishings
Boudin Bakery,Restaurant - Bakery/Desserts
BounceU,Amusement
Bourbon Street Grill,Restaurant - QSR/Fast Food
Boustan,Restaurant - Casual
Bout Time Pub,Restaurant - Bar/Pub
Boutique La Vie en Rose,Clothing - Womens
Bow Tie Cinemas,Theatres
Bowl of Heaven,Restaurant - Juice Bars
Bowlero,Sports + Recreation
Bowlmor Lanes,Sports + Recreation
Bowlology,Restaurant - Fast Casual
Bowring,Furnishings
BoxLunch,Gifts
Boyd Autobody & Glass,"Auto Service, Parts, + Tires"
"Boyer's Food Markets",Grocery
Boyle,Commercial Properties
Boys & Girls Clubs of America,"Schools, Tutoring, + Education"
Brake Check,"Auto Service, Parts, + Tires"
Brake Masters,"Auto Service, Parts, + Tires"
Brakes 4 Less,"Auto Service, Parts, + Tires"
Brakes Plus,"Auto Service, Parts, + Tires"
BrandsMart USA,Computers + Consumer Electronics
Brandy Melville,Clothing - Womens
Brandywine Realty Trust,Commercial Properties
Brassica,Restaurant - Fast Casual
Brault et Martineau,Furnishings
"Braum's Ice Cream and Dairy Stores",Restaurant - Bakery/Desserts
Bravo Brio,Restaurant Group
Bravo Supermarkets,Grocery
Bravo! Cucina Italiana,Restaurant - Casual
Brazilian Wax by Andreia,"Spa, Massage, + Esthetics"
Brazils Waxing Center,"Spa, Massage, + Esthetics"
Bread Winners Cafe,Restaurant - Bakery/Desserts
Bread Zeppelin,Restaurant - Fast Casual
Breadbox Food Store,Gas Stations
"Break Time ","Auto Service, Parts, + Tires"
Breakfast Republic,Restaurant - Casual
Breakout Games,Amusement
Breaux Mart Supermarket,Grocery
Breeze Thru Car Wash,Car Wash
Breguet,Jewelry
"Brennan's Market",Grocery
Brick & Spoon,Restaurant - Family
Brick House Tavern & Tap,Restaurant - Bar/Pub
"BrickTop's",Restaurant - Fine Dining
Bricks & Minifigs,"Crafts, Toys, and Hobbies"
Brickyard Healthcare,Misc. Health Supplies + Services
Brident,Dental
Bridge Senior Living,Misc. Health Supplies + Services
Bridgehead,Restaurant - Coffee/Tea
Bridgestone Tire,"Auto Service, Parts, + Tires"
Brigantine,Restaurant - Casual
Bright Horizons Family Solutions,Child Care
Bright Now! Dental,Dental
Bright Tiger Dental,Dental
BrightPath,"Schools, Tutoring, + Education"
BrightPath Early Learning Canada,"Schools, Tutoring, + Education"
BrightStar Care,Senior Living
Brighton Collectibles,Clothing - Womens
Brightview,Flowers
Brightview Senior Living,Misc. Health Supplies + Services
Brilliant Earth,Jewelry
Brio Tuscan Grille,Restaurant - Casual
Bristol Farms,Grocery
British Columbia Private Cannabis Retail Stores,Cannabis Retail
British Swim School,"Schools, Tutoring, + Education"
Brixmor Property Group,Commercial Properties
Brixx Wood Fired Pizza,Restaurant - Fast Casual
Broadview Federal Credit Union,Banks + Financial Services
Brook Furniture Rental,Furnishing Rentals
Brook Valley Thrift Stores,Used Products
Brookdale Senior Living,Senior Living
Brookfield Properties,Commercial Properties
Brooklyn Bedding,Furnishings
Brooklyn Harvest Market,Grocery
Brooklyn Water Bagels,Restaurant - Bakery/Desserts
Brooks Brothers,Clothing - Family/Unisex
Brookshire Brothers,Grocery
Brookshire Brothers Express,Convenience Store
"Brookshire's Grocery Company",Grocery
Brookstone,Mass Merchant
Brothers Market,Grocery
Brown Bag Seafood,Restaurant - Fast Casual
Brown Bear Car Wash,Car Wash
Brown Jug,"Beer, Wine, + Liquor Stores"
"Brown's Chicken",Restaurant - QSR/Fast Food
"Brown's Shoe Fit Co.",Footwear
Browns Shoes,Footwear
Browns Socialhouse,Restaurant - Casual
Bruce Strumpf,Commercial Properties
"Bruce's Tire & Auto Service","Auto Service, Parts, + Tires"
"Bruchi's CheeseSteaks & Subs",Restaurant - QSR/Fast Food
"Bruegger's Bagels",Restaurant - Bakery/Desserts
Bruneel Tire Factory,"Auto Service, Parts, + Tires"
Brunello Cucinelli,Clothing - Family/Unisex
Brunet Canada,Drug Stores + Pharmacies
Brunswick Bowling & Billiards,Sports + Recreation
Brunswick Zone,Sports + Recreation
"Bruster's Ice Cream",Restaurant - Bakery/Desserts
Bruxie Fried Chicken,Restaurant - QSR/Fast Food
Bubba Gump Shrimp Co.,Restaurant - Casual
"Bubba's 33",Restaurant - Casual
"Bubbakoo's Burritos",Restaurant - Fast Casual
